,Parking Position,Car Number Plate,Entry Time,Exit Time,Day
0,A11,JK-66-CM-9486,2020-08-13 12:13:42.348851,2020-08-13 12:49:29.348851,Thu
1,A19,GA-71-MJ-0060,2020-08-13 12:13:42.143606,2020-08-13 13:22:04.143606,Thu
2,A22,ML-67-AA-1495,2020-08-13 12:13:42.242250,2020-08-13 13:18:05.242250,Thu
3,A26,GJ-07-WJ-6743,2020-08-13 12:13:42.130361,2020-08-13 12:25:45.130361,Thu
4,A32,KA-07-LX-8638,2020-08-13 12:13:42.198591,2020-08-13 12:19:01.198591,Thu
5,A42,PY-59-NY-7122,2020-08-13 12:13:42.172390,2020-08-13 12:24:28.172390,Thu
6,A45,ML-05-CP-9207,2020-08-13 12:13:42.076019,2020-08-13 14:00:17.076019,Thu
7,A51,MH-41-JK-2424,2020-08-13 12:13:42.087950,2020-08-13 12:29:23.087950,Thu
8,A77,PB-32-II-5246,2020-08-13 12:13:42.272614,2020-08-13 13:14:27.272614,Thu
9,A83,UK-58-MO-6915,2020-08-13 12:13:42.128082,2020-08-13 13:33:50.128082,Thu
10,A84,JH-80-YV-0994,2020-08-13 12:13:42.324516,2020-08-13 13:26:04.324516,Thu
11,A88,JK-08-WE-6673,2020-08-13 12:13:42.307124,2020-08-13 13:10:17.307124,Thu
12,A96,HR-62-EQ-3009,2020-08-13 12:13:42.353925,2020-08-13 13:24:28.353925,Thu
13,A97,MH-91-QW-3184,2020-08-13 12:13:42.178879,2020-08-13 13:46:47.178879,Thu
14,A98,SK-31-MU-3164,2020-08-13 12:13:42.356547,2020-08-13 12:25:19.356547,Thu
15,A99,CH-71-WM-8293,2020-08-13 12:13:42.267173,2020-08-13 13:14:22.267173,Thu
16,A101,MZ-49-LF-1845,2020-08-13 12:13:42.147912,2020-08-13 12:54:36.147912,Thu
17,A102,HR-68-HU-9381,2020-08-13 12:13:42.281030,2020-08-13 13:41:43.281030,Thu
18,A105,LA-42-WH-7053,2020-08-13 12:13:42.073812,2020-08-13 13:39:55.073812,Thu
19,A117,MZ-02-RK-9053,2020-08-13 12:13:42.208428,2020-08-13 13:20:16.208428,Thu
20,A126,UP-09-LW-8889,2020-08-13 12:13:42.339713,2020-08-13 13:09:14.339713,Thu
21,A129,CG-38-OP-6174,2020-08-13 12:13:42.301689,2020-08-13 13:48:02.301689,Thu
22,A130,OD-82-UN-7478,2020-08-13 12:13:42.298970,2020-08-13 13:40:49.298970,Thu
23,A131,GJ-20-OL-5144,2020-08-13 12:13:42.256384,2020-08-13 12:21:15.256384,Thu
24,A132,MZ-15-OT-4321,2020-08-13 12:13:42.371715,2020-08-13 13:26:17.371715,Thu
25,A137,GJ-95-GT-7306,2020-08-13 12:13:42.318798,2020-08-13 12:36:03.318798,Thu
26,A138,TN-71-EV-5307,2020-08-13 12:13:42.211105,2020-08-13 12:59:29.211105,Thu
27,A142,LA-09-LU-0642,2020-08-13 12:13:42.284633,2020-08-13 13:10:14.284633,Thu
28,A151,DD-84-VV-8808,2020-08-13 12:13:42.388245,2020-08-13 13:40:27.388245,Thu
29,A152,MZ-17-AK-7553,2020-08-13 12:13:42.043231,2020-08-13 13:14:39.043231,Thu
30,A153,OD-43-HT-7750,2020-08-13 12:13:42.170233,2020-08-13 13:07:35.170233,Thu
31,A158,HR-43-UU-9173,2020-08-13 12:13:42.390446,2020-08-13 12:32:22.390446,Thu
32,A166,TR-28-YM-3147,2020-08-13 12:13:42.134721,2020-08-13 13:13:51.134721,Thu
33,A170,TN-63-BM-5018,2020-08-13 12:13:42.114685,2020-08-13 12:35:27.114685,Thu
34,A173,OD-70-IR-7322,2020-08-13 12:13:42.053528,2020-08-13 12:22:15.053528,Thu
35,A181,MZ-41-NF-5193,2020-08-13 12:13:42.049843,2020-08-13 13:35:28.049843,Thu
36,A189,RJ-51-IS-6268,2020-08-13 12:13:42.244936,2020-08-13 13:23:53.244936,Thu
37,B29,RJ-64-WF-3806,2020-08-13 12:13:42.221986,2020-08-13 12:28:49.221986,Thu
38,B30,LA-49-PN-4081,2020-08-13 12:13:42.094622,2020-08-13 13:29:29.094622,Thu
39,B56,KA-26-OR-8600,2020-08-13 12:13:42.233466,2020-08-13 12:20:07.233466,Thu
40,B78,UK-72-DX-5854,2020-08-13 12:13:42.269904,2020-08-13 14:06:12.269904,Thu
41,B80,LA-85-XU-7819,2020-08-13 12:13:42.083263,2020-08-13 13:31:53.083263,Thu
42,B81,AP-46-KY-2997,2020-08-13 12:13:42.159296,2020-08-13 13:57:59.159296,Thu
43,B84,WB-04-IX-8066,2020-08-13 12:13:42.332601,2020-08-13 13:45:27.332601,Thu
44,B85,RJ-44-LZ-4132,2020-08-13 12:13:42.081051,2020-08-13 14:05:15.081051,Thu
45,B89,LD-97-WK-2010,2020-08-13 12:13:42.163670,2020-08-13 14:11:52.163670,Thu
46,B90,TR-26-UN-0237,2020-08-13 12:13:42.190006,2020-08-13 12:55:50.190006,Thu
47,B93,GJ-02-LN-3544,2020-08-13 12:13:42.105972,2020-08-13 13:18:47.105972,Thu
48,B107,KL-52-YL-9692,2020-08-13 12:13:42.200755,2020-08-13 13:35:58.200755,Thu
49,B118,KA-27-OL-4726,2020-08-13 12:13:42.351003,2020-08-13 13:17:02.351003,Thu
50,B122,PY-02-OG-9233,2020-08-13 12:13:42.344069,2020-08-13 12:22:10.344069,Thu
51,B139,GJ-68-AC-4352,2020-08-13 12:13:42.165810,2020-08-13 14:03:47.165810,Thu
52,B152,AN-46-DQ-4296,2020-08-13 12:13:42.187851,2020-08-13 14:09:01.187851,Thu
53,B155,CG-76-YU-0334,2020-08-13 12:13:42.378171,2020-08-13 13:52:43.378171,Thu
54,B161,HP-95-ZL-1141,2020-08-13 12:13:42.069330,2020-08-13 13:18:16.069330,Thu
55,B166,HR-08-KH-4187,2020-08-13 12:13:42.046508,2020-08-13 13:31:50.046508,Thu
56,B173,TS-50-XN-3718,2020-08-13 12:13:42.192160,2020-08-13 12:22:26.192160,Thu
57,B174,TS-10-KM-9764,2020-08-13 12:13:42.337543,2020-08-13 13:42:39.337543,Thu
58,B177,GJ-09-DO-0765,2020-08-13 12:13:42.205787,2020-08-13 13:37:13.205787,Thu
59,B179,DL-43-LM-3766,2020-08-13 12:13:42.313222,2020-08-13 12:53:18.313222,Thu
60,B186,UK-66-GZ-9463,2020-08-13 12:13:42.287339,2020-08-13 12:33:10.287339,Thu
61,B188,BR-46-XI-6938,2020-08-13 12:13:42.108129,2020-08-13 13:31:33.108129,Thu
62,B199,MH-54-KF-9337,2020-08-13 12:13:42.228086,2020-08-13 13:24:51.228086,Thu
63,C3,AP-51-FI-9728,2020-08-13 12:13:42.309856,2020-08-13 13:36:22.309856,Thu
64,C6,MN-65-ZK-1751,2020-08-13 12:13:42.185559,2020-08-13 12:38:14.185559,Thu
65,C8,KL-34-AW-0981,2020-08-13 12:13:42.369467,2020-08-13 12:19:53.369467,Thu
66,C12,MH-64-AI-6059,2020-08-13 12:13:42.380788,2020-08-13 12:14:44.380788,Thu
67,C16,MN-32-QY-9276,2020-08-13 12:13:42.161528,2020-08-13 12:50:09.161528,Thu
68,C18,KA-61-NO-2602,2020-08-13 12:13:42.101516,2020-08-13 12:50:00.101516,Thu
69,C21,LD-15-NT-0862,2020-08-13 12:13:42.117291,2020-08-13 12:51:55.117291,Thu
70,C22,MH-07-OM-4217,2020-08-13 12:13:42.250468,2020-08-13 13:47:34.250468,Thu
71,C24,RJ-06-JH-2624,2020-08-13 12:13:42.090220,2020-08-13 13:23:43.090220,Thu
72,C58,TR-91-BX-8250,2020-08-13 12:13:42.110287,2020-08-13 13:58:08.110287,Thu
73,C61,WB-99-MC-0542,2020-08-13 12:13:42.290226,2020-08-13 13:45:36.290226,Thu
74,C64,DD-00-NW-2952,2020-08-13 12:13:42.366498,2020-08-13 12:44:01.366498,Thu
75,C65,DD-74-TK-4775,2020-08-13 12:13:42.121830,2020-08-13 12:33:19.121830,Thu
76,C70,DL-01-RP-7328,2020-08-13 12:13:42.132566,2020-08-13 14:06:24.132566,Thu
77,C84,PY-21-TW-6118,2020-08-13 12:13:42.373886,2020-08-13 13:54:18.373886,Thu
78,C87,CH-61-NP-5491,2020-08-13 12:13:42.364246,2020-08-13 13:40:34.364246,Thu
79,C91,SK-89-MF-6704,2020-08-13 12:13:42.330424,2020-08-13 12:15:13.330424,Thu
80,C94,HP-37-YT-0378,2020-08-13 12:13:42.253430,2020-08-13 12:34:22.253430,Thu
81,C99,PY-93-GZ-0130,2020-08-13 12:13:42.335256,2020-08-13 12:31:13.335256,Thu
82,C101,DD-79-ZP-1053,2020-08-13 12:13:42.383082,2020-08-13 14:02:24.383082,Thu
83,C107,MH-37-VB-8887,2020-08-13 12:13:42.215389,2020-08-13 12:48:09.215389,Thu
84,C108,WB-31-FA-7787,2020-08-13 12:13:42.085462,2020-08-13 12:52:00.085462,Thu
85,C114,TN-75-CN-9692,2020-08-13 12:13:42.071604,2020-08-13 14:05:25.071604,Thu
86,C121,UP-67-VK-6446,2020-08-13 12:13:42.259084,2020-08-13 13:25:23.259084,Thu
87,C122,PB-77-TF-1629,2020-08-13 12:13:42.096827,2020-08-13 12:49:27.096827,Thu
88,C124,AN-94-KH-4380,2020-08-13 12:13:42.203624,2020-08-13 12:52:22.203624,Thu
89,C125,AS-37-HS-8599,2020-08-13 12:13:42.155002,2020-08-13 12:49:04.155002,Thu
90,C136,SK-96-YQ-9881,2020-08-13 12:13:42.059110,2020-08-13 12:28:15.059110,Thu
91,C141,CG-96-DQ-9196,2020-08-13 12:13:42.247624,2020-08-13 12:27:46.247624,Thu
92,C145,KA-19-MO-6006,2020-08-13 12:13:42.217540,2020-08-13 13:00:42.217540,Thu
93,C176,SK-32-AX-2084,2020-08-13 12:13:42.152819,2020-08-13 12:18:08.152819,Thu
94,C182,UP-09-EP-3423,2020-08-13 12:13:42.112530,2020-08-13 12:23:52.112530,Thu
95,C185,LD-40-XW-3962,2020-08-13 12:13:42.213245,2020-08-13 13:42:42.213245,Thu
96,C187,ML-82-DZ-5175,2020-08-13 12:13:42.145757,2020-08-13 14:07:45.145757,Thu
97,C189,JH-64-TD-0847,2020-08-13 12:13:42.321789,2020-08-13 12:27:01.321789,Thu
98,C190,SK-35-YJ-8045,2020-08-13 12:13:42.275307,2020-08-13 13:39:53.275307,Thu
99,C191,TS-76-FB-4328,2020-08-13 12:13:42.125719,2020-08-13 12:37:28.125719,Thu
100,C192,SK-28-HG-1420,2020-08-13 12:13:42.119650,2020-08-13 12:15:59.119650,Thu
101,C193,JH-18-BO-5755,2020-08-13 12:13:42.361908,2020-08-13 12:38:31.361908,Thu
102,C194,HR-90-GM-5037,2020-08-13 12:13:42.031555,2020-08-13 13:16:51.031555,Thu
103,C195,MP-91-OV-4693,2020-08-13 12:13:42.103803,2020-08-13 13:06:45.103803,Thu
104,C198,AS-20-DJ-8801,2020-08-13 12:13:42.341861,2020-08-13 12:25:07.341861,Thu
105,D28,TS-36-AH-0838,2020-08-13 12:13:42.219820,2020-08-13 13:34:05.219820,Thu
106,D31,MN-34-MQ-2040,2020-08-13 12:13:42.236598,2020-08-13 13:42:43.236598,Thu
107,D32,BR-10-WQ-5632,2020-08-13 12:13:42.139302,2020-08-13 12:23:26.139302,Thu
108,D34,ML-90-LD-3232,2020-08-13 12:13:42.141456,2020-08-13 12:25:10.141456,Thu
109,D40,KL-36-RM-0003,2020-08-13 12:13:42.035444,2020-08-13 12:42:10.035444,Thu
110,D47,JK-67-EH-4904,2020-08-13 12:13:42.295621,2020-08-13 14:09:23.295621,Thu
111,D48,PB-63-YW-5004,2020-08-13 12:13:42.277993,2020-08-13 12:50:50.277993,Thu
112,D53,MH-66-SB-6635,2020-08-13 12:13:42.092422,2020-08-13 13:39:13.092422,Thu
113,D57,SK-41-XQ-5309,2020-08-13 12:13:42.225104,2020-08-13 13:34:38.225104,Thu
114,D60,SK-44-LI-7355,2020-08-13 12:13:42.099278,2020-08-13 13:02:05.099278,Thu
115,D63,GA-74-WO-4640,2020-08-13 12:13:42.181253,2020-08-13 13:04:20.181253,Thu
