,Parking Position,Car Number Plate,Entry Time,Exit Time,Day
0,A1,PB-39-VV-9431,2020-08-01 08:04:25.298126,2020-08-01 08:08:57.298126,Sat
1,A4,AP-98-RI-0551,2020-08-01 08:04:25.304358,2020-08-01 09:58:21.304358,Sat
2,A25,BR-65-PI-2073,2020-08-01 08:04:25.355887,2020-08-01 09:59:09.355887,Sat
3,A31,LA-84-UI-7459,2020-08-01 08:04:25.294357,2020-08-01 09:17:05.294357,Sat
4,A56,CG-12-KR-2063,2020-08-01 08:04:25.307212,2020-08-01 09:05:08.307212,Sat
5,A84,MN-50-QF-8617,2020-08-01 08:04:25.348712,2020-08-01 09:20:42.348712,Sat
6,A88,CH-23-VU-6392,2020-08-01 08:04:25.353438,2020-08-01 08:57:11.353438,Sat
7,A111,JH-84-AK-8716,2020-08-01 08:04:25.340297,2020-08-01 08:50:19.340297,Sat
8,A115,AR-42-XG-0656,2020-08-01 08:04:25.319955,2020-08-01 08:14:45.319955,Sat
9,A120,JH-74-KM-4000,2020-08-01 08:04:25.342985,2020-08-01 08:49:58.342985,Sat
10,A123,WB-06-VK-6562,2020-08-01 08:04:25.273643,2020-08-01 08:05:28.273643,Sat
11,A131,JK-00-PE-1374,2020-08-01 08:04:25.367751,2020-08-01 08:25:23.367751,Sat
12,A134,MZ-91-EA-7385,2020-08-01 08:04:25.365310,2020-08-01 09:12:05.365310,Sat
13,A148,BR-32-PM-5968,2020-08-01 08:04:25.370189,2020-08-01 09:09:44.370189,Sat
14,B27,WB-26-QQ-3150,2020-08-01 08:04:25.312597,2020-08-01 08:45:32.312597,Sat
15,B64,MP-13-NS-1658,2020-08-01 08:04:25.301504,2020-08-01 09:40:52.301504,Sat
16,B66,RJ-65-ND-8262,2020-08-01 08:04:25.351261,2020-08-01 08:29:17.351261,Sat
17,B76,WB-77-LZ-6149,2020-08-01 08:04:25.317694,2020-08-01 08:11:57.317694,Sat
18,B84,GA-69-SY-6319,2020-08-01 08:04:25.333590,2020-08-01 08:51:06.333590,Sat
19,B152,AR-49-QL-2287,2020-08-01 08:04:25.324686,2020-08-01 08:50:59.324686,Sat
20,B176,LA-57-NE-5892,2020-08-01 08:04:25.284697,2020-08-01 09:10:34.284697,Sat
21,B179,DL-01-CI-7301,2020-08-01 08:04:25.331378,2020-08-01 08:31:21.331378,Sat
22,B192,WB-82-HL-6201,2020-08-01 08:04:25.372513,2020-08-01 09:38:38.372513,Sat
23,B199,LD-56-CG-2921,2020-08-01 08:04:25.291197,2020-08-01 08:35:10.291197,Sat
24,C11,SK-53-JL-2668,2020-08-01 08:04:25.338119,2020-08-01 09:37:36.338119,Sat
25,C47,AP-88-SK-1309,2020-08-01 08:04:25.287998,2020-08-01 09:47:40.287998,Sat
26,C52,SK-15-YT-0987,2020-08-01 08:04:25.329169,2020-08-01 08:51:30.329169,Sat
27,C57,KL-78-KK-8597,2020-08-01 08:04:25.360943,2020-08-01 08:58:57.360943,Sat
28,C83,KL-90-KB-2315,2020-08-01 08:04:25.358115,2020-08-01 09:49:17.358115,Sat
29,C116,AR-66-VS-5841,2020-08-01 08:04:25.345145,2020-08-01 09:25:17.345145,Sat
30,C155,UP-68-GM-2980,2020-08-01 08:04:25.326910,2020-08-01 09:44:42.326910,Sat
31,D39,WB-39-RG-9072,2020-08-01 08:04:25.363143,2020-08-01 08:15:58.363143,Sat
32,D44,TR-84-ZS-2380,2020-08-01 08:04:25.267831,2020-08-01 08:36:35.267831,Sat
33,D95,MH-69-YM-5648,2020-08-01 08:04:25.315245,2020-08-01 09:31:16.315245,Sat
34,D145,AN-53-VA-4495,2020-08-01 08:04:25.335807,2020-08-01 09:50:45.335807,Sat
35,D159,AN-85-MN-6588,2020-08-01 08:04:25.322402,2020-08-01 08:10:37.322402,Sat
36,D181,WB-00-TS-4963,2020-08-01 08:04:25.309818,2020-08-01 08:40:07.309818,Sat
37,D199,TS-60-CB-4767,2020-08-01 08:04:25.280193,2020-08-01 09:21:12.280193,Sat
38,A12,DL-85-JC-0414,2020-08-01 08:04:31.143269,2020-08-01 09:11:24.143269,Sat
39,A15,KL-77-OS-0727,2020-08-01 08:04:31.076599,2020-08-01 09:08:33.076599,Sat
40,A17,HR-18-TY-5027,2020-08-01 08:04:31.083584,2020-08-01 08:36:55.083584,Sat
41,A21,BR-86-JM-6242,2020-08-01 08:04:31.354006,2020-08-01 09:38:47.354006,Sat
42,A25,ML-29-LJ-5620,2020-08-01 10:09:09.355887,2020-08-01 12:01:26.355887,Sat
43,A28,TS-06-CN-4746,2020-08-01 08:04:31.278559,2020-08-01 09:13:50.278559,Sat
44,A31,DD-75-CV-4388,2020-08-01 09:27:05.294357,2020-08-01 09:43:39.294357,Sat
45,A35,RJ-57-SU-2276,2020-08-01 08:04:31.263179,2020-08-01 09:20:40.263179,Sat
46,A36,MP-52-VQ-6445,2020-08-01 08:04:31.235228,2020-08-01 08:55:25.235228,Sat
47,A40,PB-27-CO-6796,2020-08-01 08:04:31.179106,2020-08-01 09:22:34.179106,Sat
48,A46,WB-96-LI-5101,2020-08-01 08:04:31.130096,2020-08-01 08:12:21.130096,Sat
49,A54,ML-08-EG-2875,2020-08-01 08:04:31.161012,2020-08-01 09:32:57.161012,Sat
50,A59,MP-89-KO-5397,2020-08-01 08:04:31.326925,2020-08-01 08:29:23.326925,Sat
51,A74,CG-14-HE-9832,2020-08-01 08:04:31.312270,2020-08-01 09:22:50.312270,Sat
52,A88,GJ-73-WI-2794,2020-08-01 09:07:11.353438,2020-08-01 10:17:09.353438,Sat
53,A104,OD-19-AV-6056,2020-08-01 08:04:31.182025,2020-08-01 09:48:47.182025,Sat
54,A107,CG-03-IG-3486,2020-08-01 08:04:31.256121,2020-08-01 08:34:10.256121,Sat
55,A122,TS-24-UJ-7023,2020-08-01 08:04:31.302331,2020-08-01 09:57:51.302331,Sat
56,A123,PY-81-MY-6749,2020-08-01 08:15:28.273643,2020-08-01 08:26:37.273643,Sat
57,A124,TS-64-RZ-6962,2020-08-01 08:04:31.319799,2020-08-01 08:43:24.319799,Sat
58,A129,DL-77-WZ-2450,2020-08-01 08:04:31.351602,2020-08-01 09:05:16.351602,Sat
59,A131,BR-17-UU-2186,2020-08-01 08:35:23.367751,2020-08-01 08:51:51.367751,Sat
60,A132,JK-41-TE-4767,2020-08-01 08:04:31.360877,2020-08-01 08:39:53.360877,Sat
61,A143,CG-18-XV-7576,2020-08-01 08:04:31.188190,2020-08-01 09:24:33.188190,Sat
62,A148,KA-66-YH-3147,2020-08-01 09:19:44.370189,2020-08-01 10:18:14.370189,Sat
63,A151,MZ-35-YX-7553,2020-08-01 08:04:31.246950,2020-08-01 08:40:18.246950,Sat
64,A172,GJ-61-AB-2440,2020-08-01 08:04:31.289050,2020-08-01 08:38:56.289050,Sat
65,A175,RJ-06-RN-1956,2020-08-01 08:04:31.349122,2020-08-01 08:46:51.349122,Sat
66,A181,MP-03-LT-8525,2020-08-01 08:04:31.092109,2020-08-01 08:39:44.092109,Sat
67,A188,JH-56-SF-9453,2020-08-01 08:04:31.283429,2020-08-01 08:12:00.283429,Sat
68,B2,ML-57-FY-8419,2020-08-01 08:04:31.331846,2020-08-01 09:12:38.331846,Sat
69,B10,CG-35-GN-4576,2020-08-01 08:04:31.196992,2020-08-01 10:00:07.196992,Sat
70,B22,MH-77-SJ-1785,2020-08-01 08:04:31.241214,2020-08-01 08:27:17.241214,Sat
71,B34,CH-16-UC-6021,2020-08-01 08:04:31.346163,2020-08-01 09:41:36.346163,Sat
72,B44,BR-44-VP-8837,2020-08-01 08:04:31.356331,2020-08-01 08:58:07.356331,Sat
73,B57,DD-96-TX-8584,2020-08-01 08:04:31.343896,2020-08-01 09:54:15.343896,Sat
74,B60,GA-30-YY-5340,2020-08-01 08:04:31.324542,2020-08-01 09:53:35.324542,Sat
75,B69,LA-03-PU-7396,2020-08-01 08:04:31.322193,2020-08-01 08:14:04.322193,Sat
76,B83,OD-33-TF-5614,2020-08-01 08:04:31.216805,2020-08-01 09:05:06.216805,Sat
77,B88,CH-43-AF-9448,2020-08-01 08:04:31.085848,2020-08-01 09:49:01.085848,Sat
78,B91,UP-86-MT-8144,2020-08-01 08:04:31.081311,2020-08-01 08:47:48.081311,Sat
79,B99,TR-14-AQ-8127,2020-08-01 08:04:31.252724,2020-08-01 08:56:08.252724,Sat
80,B103,TS-84-TD-9694,2020-08-01 08:04:31.176217,2020-08-01 08:35:11.176217,Sat
81,B107,LD-65-FY-6897,2020-08-01 08:04:31.167047,2020-08-01 08:11:03.167047,Sat
82,B113,LA-21-YW-1529,2020-08-01 08:04:31.185180,2020-08-01 09:25:50.185180,Sat
83,B117,LA-01-TC-4817,2020-08-01 08:04:31.309741,2020-08-01 09:23:59.309741,Sat
84,B121,PY-70-QT-6513,2020-08-01 08:04:31.244091,2020-08-01 09:46:07.244091,Sat
85,B123,CH-73-JU-9710,2020-08-01 08:04:31.155236,2020-08-01 08:04:39.155236,Sat
86,B128,MP-57-SE-1891,2020-08-01 08:04:31.137049,2020-08-01 09:56:24.137049,Sat
87,B133,DD-42-IA-4387,2020-08-01 08:04:31.111603,2020-08-01 09:32:49.111603,Sat
88,B142,JH-90-ES-8335,2020-08-01 08:04:31.127043,2020-08-01 09:40:57.127043,Sat
89,B172,DL-32-JL-8815,2020-08-01 08:04:31.299949,2020-08-01 08:40:31.299949,Sat
90,B174,JK-04-ZL-3804,2020-08-01 08:04:31.124209,2020-08-01 09:50:36.124209,Sat
91,B179,RJ-23-RX-3526,2020-08-01 08:41:21.331378,2020-08-01 09:51:42.331378,Sat
92,B181,DL-03-CJ-3527,2020-08-01 08:04:31.114944,2020-08-01 09:22:02.114944,Sat
93,B185,BR-84-HB-5126,2020-08-01 08:04:31.088256,2020-08-01 08:12:13.088256,Sat
94,B190,MP-66-TC-8305,2020-08-01 08:04:31.358609,2020-08-01 09:26:17.358609,Sat
95,B196,MN-44-GO-7889,2020-08-01 08:04:31.337014,2020-08-01 08:25:11.337014,Sat
96,B199,MH-01-JV-2072,2020-08-01 08:45:10.291197,2020-08-01 10:01:32.291197,Sat
97,B200,RJ-13-GX-7599,2020-08-01 08:04:31.222670,2020-08-01 08:35:58.222670,Sat
98,C13,HP-46-EK-4362,2020-08-01 08:04:31.079027,2020-08-01 09:56:20.079027,Sat
99,C20,TS-06-YU-3373,2020-08-01 08:04:31.334126,2020-08-01 09:19:51.334126,Sat
100,C21,ML-21-KF-9762,2020-08-01 08:04:31.230480,2020-08-01 09:09:16.230480,Sat
101,C22,TR-80-ZC-0900,2020-08-01 08:04:31.163902,2020-08-01 09:32:27.163902,Sat
102,C29,KL-62-ZZ-9519,2020-08-01 08:04:31.210170,2020-08-01 09:27:04.210170,Sat
103,C33,TS-95-GH-5232,2020-08-01 08:04:31.207074,2020-08-01 08:11:54.207074,Sat
104,C42,AN-75-UW-7029,2020-08-01 08:04:31.307379,2020-08-01 08:24:14.307379,Sat
105,C73,HR-86-QW-6435,2020-08-01 08:04:31.158109,2020-08-01 09:53:54.158109,Sat
106,C92,LA-26-ZD-8718,2020-08-01 08:04:31.219813,2020-08-01 08:04:39.219813,Sat
107,C108,CG-15-UK-7202,2020-08-01 08:04:31.152254,2020-08-01 10:02:54.152254,Sat
108,C109,TS-16-IP-6493,2020-08-01 08:04:31.104187,2020-08-01 09:02:12.104187,Sat
109,C131,GJ-15-HV-8590,2020-08-01 08:04:31.098764,2020-08-01 09:36:03.098764,Sat
110,C137,ML-97-JQ-3801,2020-08-01 08:04:31.259828,2020-08-01 09:50:00.259828,Sat
111,C142,KL-89-IO-2098,2020-08-01 08:04:31.170430,2020-08-01 08:45:49.170430,Sat
112,C151,DD-90-JH-8928,2020-08-01 08:04:31.339306,2020-08-01 09:24:07.339306,Sat
113,C155,BR-45-MN-9150,2020-08-01 09:54:42.326910,2020-08-01 10:08:08.326910,Sat
