,Parking Position,Car Number Plate,Entry Time,Exit Time,Day
0,A13,DL-12-TC-2258,2020-07-25 05:56:43.234920,2020-07-25 07:49:09.234920,Sat
1,A27,JH-93-VQ-9068,2020-07-25 05:56:43.269639,2020-07-25 06:42:27.269639,Sat
2,A29,KA-78-LW-0417,2020-07-25 05:56:43.478157,2020-07-25 07:12:37.478157,Sat
3,A36,OD-53-SO-5252,2020-07-25 05:56:43.380176,2020-07-25 07:27:18.380176,Sat
4,A55,KL-86-OL-6893,2020-07-25 05:56:43.204911,2020-07-25 06:23:07.204911,Sat
5,A58,GJ-82-GW-3344,2020-07-25 05:56:43.355782,2020-07-25 06:08:13.355782,Sat
6,A83,UP-70-FR-9836,2020-07-25 05:56:43.261613,2020-07-25 07:09:30.261613,Sat
7,A95,MN-06-IL-7269,2020-07-25 05:56:43.475962,2020-07-25 06:05:24.475962,Sat
8,A102,GA-30-FB-8033,2020-07-25 05:56:43.451578,2020-07-25 06:57:46.451578,Sat
9,A107,OD-68-WH-8977,2020-07-25 05:56:43.336042,2020-07-25 06:25:41.336042,Sat
10,A114,SK-35-SA-6809,2020-07-25 05:56:43.387658,2020-07-25 06:22:46.387658,Sat
11,A118,DL-65-KD-4948,2020-07-25 05:56:43.375223,2020-07-25 07:09:32.375223,Sat
12,A121,GJ-11-PW-3716,2020-07-25 05:56:43.360783,2020-07-25 07:28:29.360783,Sat
13,A125,GA-17-IU-6482,2020-07-25 05:56:43.473806,2020-07-25 07:21:46.473806,Sat
14,A130,MP-21-RI-9468,2020-07-25 05:56:43.416246,2020-07-25 06:03:44.416246,Sat
15,A141,ML-09-CE-8673,2020-07-25 05:56:43.353624,2020-07-25 06:39:49.353624,Sat
16,A144,HP-93-PC-3604,2020-07-25 05:56:43.196233,2020-07-25 07:35:40.196233,Sat
17,A147,PB-47-OM-9359,2020-07-25 05:56:43.455886,2020-07-25 06:49:35.455886,Sat
18,A150,CG-31-LG-5267,2020-07-25 05:56:43.209728,2020-07-25 07:40:35.209728,Sat
19,A154,PB-99-AD-3652,2020-07-25 05:56:43.469002,2020-07-25 07:38:59.469002,Sat
20,A160,AN-67-ON-6873,2020-07-25 05:56:43.300492,2020-07-25 06:00:47.300492,Sat
21,A166,HP-50-DB-9607,2020-07-25 05:56:43.418958,2020-07-25 07:21:45.418958,Sat
22,A172,LD-65-XM-9816,2020-07-25 05:56:43.401823,2020-07-25 07:17:30.401823,Sat
23,A177,RJ-34-MK-3185,2020-07-25 05:56:43.429033,2020-07-25 06:40:17.429033,Sat
24,A180,JH-45-EY-2751,2020-07-25 05:56:43.338227,2020-07-25 07:13:26.338227,Sat
25,A182,TN-12-GN-6082,2020-07-25 05:56:43.303135,2020-07-25 06:56:59.303135,Sat
26,A188,UP-09-IH-4467,2020-07-25 05:56:43.312869,2020-07-25 06:33:39.312869,Sat
27,A189,DD-57-YM-8384,2020-07-25 05:56:43.424544,2020-07-25 07:05:52.424544,Sat
28,B9,MZ-94-OL-5715,2020-07-25 05:56:43.406910,2020-07-25 06:17:16.406910,Sat
29,B18,BR-37-KV-7727,2020-07-25 05:56:43.240018,2020-07-25 07:08:18.240018,Sat
30,B28,KL-51-HQ-7138,2020-07-25 05:56:43.382615,2020-07-25 07:05:27.382615,Sat
31,B32,TS-08-CI-4265,2020-07-25 05:56:43.247924,2020-07-25 07:29:03.247924,Sat
32,B45,LA-84-GM-7200,2020-07-25 05:56:43.192840,2020-07-25 07:03:01.192840,Sat
33,B48,MP-40-HU-7155,2020-07-25 05:56:43.323047,2020-07-25 06:29:45.323047,Sat
34,B53,AR-73-WY-9187,2020-07-25 05:56:43.444723,2020-07-25 07:39:37.444723,Sat
35,B57,LA-84-RQ-8457,2020-07-25 05:56:43.287009,2020-07-25 06:34:39.287009,Sat
36,B63,KA-42-QT-0108,2020-07-25 05:56:43.371401,2020-07-25 06:50:26.371401,Sat
37,B70,UP-15-MB-3935,2020-07-25 05:56:43.213330,2020-07-25 06:10:06.213330,Sat
38,B71,AN-02-PB-9694,2020-07-25 05:56:43.485242,2020-07-25 05:58:38.485242,Sat
39,B72,BR-40-DV-7407,2020-07-25 05:56:43.389869,2020-07-25 07:00:49.389869,Sat
40,B75,PB-94-QM-3627,2020-07-25 05:56:43.325874,2020-07-25 06:15:35.325874,Sat
41,B80,PB-36-BI-6205,2020-07-25 05:56:43.333235,2020-07-25 07:31:41.333235,Sat
42,B83,UK-55-UF-1910,2020-07-25 05:56:43.290017,2020-07-25 06:15:17.290017,Sat
43,B86,HR-60-RR-7770,2020-07-25 05:56:43.263940,2020-07-25 06:30:56.263940,Sat
44,B92,OD-64-LI-5122,2020-07-25 05:56:43.343886,2020-07-25 06:17:46.343886,Sat
45,B124,DL-01-HS-2244,2020-07-25 05:56:43.394536,2020-07-25 06:26:18.394536,Sat
46,B150,RJ-69-DC-3701,2020-07-25 05:56:43.245601,2020-07-25 07:19:44.245601,Sat
47,B183,LD-82-HR-6348,2020-07-25 05:56:43.410828,2020-07-25 07:16:27.410828,Sat
48,B196,KL-82-SX-5414,2020-07-25 05:56:43.403989,2020-07-25 07:12:11.403989,Sat
49,C3,PB-02-TP-0232,2020-07-25 05:56:43.341319,2020-07-25 07:16:23.341319,Sat
50,C16,JH-83-LE-4218,2020-07-25 05:56:43.421655,2020-07-25 07:08:52.421655,Sat
51,C21,MP-87-YD-8572,2020-07-25 05:56:43.480807,2020-07-25 07:29:33.480807,Sat
52,C26,TN-94-JQ-3673,2020-07-25 05:56:43.315149,2020-07-25 07:17:26.315149,Sat
53,C29,CH-23-RT-3905,2020-07-25 05:56:43.320767,2020-07-25 07:39:59.320767,Sat
54,C31,PB-33-NU-7850,2020-07-25 05:56:43.458026,2020-07-25 07:22:05.458026,Sat
55,C41,AP-10-JC-6250,2020-07-25 05:56:43.200502,2020-07-25 06:43:57.200502,Sat
56,C42,OD-02-TT-6751,2020-07-25 05:56:43.277181,2020-07-25 07:28:21.277181,Sat
57,C48,TN-12-CC-3743,2020-07-25 05:56:43.462314,2020-07-25 06:54:18.462314,Sat
58,C57,GA-52-WQ-5247,2020-07-25 05:56:43.310540,2020-07-25 06:06:30.310540,Sat
59,C64,JK-84-RP-8523,2020-07-25 05:56:43.297594,2020-07-25 07:36:48.297594,Sat
60,C71,JK-95-KC-1531,2020-07-25 05:56:43.305405,2020-07-25 07:49:41.305405,Sat
61,C82,TR-95-ZK-4955,2020-07-25 05:56:43.328424,2020-07-25 06:54:29.328424,Sat
62,C84,KL-39-VH-3268,2020-07-25 05:56:43.318455,2020-07-25 06:41:21.318455,Sat
63,C90,MH-51-QS-2097,2020-07-25 05:56:43.256343,2020-07-25 06:06:50.256343,Sat
64,C96,AR-34-JY-1311,2020-07-25 05:56:43.266648,2020-07-25 07:06:55.266648,Sat
65,C107,KA-19-FH-3606,2020-07-25 05:56:43.217263,2020-07-25 06:13:56.217263,Sat
66,C113,AS-61-JH-2813,2020-07-25 05:56:43.259122,2020-07-25 06:12:51.259122,Sat
67,C115,HR-94-QM-4330,2020-07-25 05:56:43.489544,2020-07-25 06:35:52.489544,Sat
68,C117,RJ-79-QV-7621,2020-07-25 05:56:43.221905,2020-07-25 06:17:24.221905,Sat
69,C127,SK-78-BE-1979,2020-07-25 05:56:43.460170,2020-07-25 06:25:38.460170,Sat
70,C130,ML-67-KY-3181,2020-07-25 05:56:43.251659,2020-07-25 06:16:15.251659,Sat
71,C141,DD-02-YP-1414,2020-07-25 05:56:43.254104,2020-07-25 07:12:55.254104,Sat
72,C162,KL-44-LU-8951,2020-07-25 05:56:43.225222,2020-07-25 07:33:12.225222,Sat
73,C163,PB-75-LJ-3712,2020-07-25 05:56:43.392232,2020-07-25 07:01:45.392232,Sat
74,C171,PB-97-CF-2652,2020-07-25 05:56:43.384901,2020-07-25 07:20:45.384901,Sat
75,C179,KL-02-TM-0581,2020-07-25 05:56:43.282019,2020-07-25 06:20:11.282019,Sat
76,C181,SK-84-BE-7502,2020-07-25 05:56:43.237565,2020-07-25 07:47:06.237565,Sat
77,C188,PB-96-PC-3625,2020-07-25 05:56:43.279434,2020-07-25 06:18:58.279434,Sat
78,C190,DD-62-SQ-8686,2020-07-25 05:56:43.308035,2020-07-25 07:11:36.308035,Sat
79,D12,UK-11-LK-5005,2020-07-25 05:56:43.362957,2020-07-25 05:59:08.362957,Sat
80,D18,KL-53-YU-7781,2020-07-25 05:56:43.243166,2020-07-25 05:59:11.243166,Sat
81,D39,HR-64-FT-3367,2020-07-25 05:56:43.399620,2020-07-25 07:42:54.399620,Sat
82,D46,LA-63-VW-3688,2020-07-25 05:56:43.351342,2020-07-25 07:05:13.351342,Sat
83,D50,JK-13-SR-3940,2020-07-25 05:56:43.449251,2020-07-25 06:43:35.449251,Sat
84,D52,TR-93-UW-9440,2020-07-25 05:56:43.446879,2020-07-25 05:57:15.446879,Sat
85,D54,KL-74-PI-7412,2020-07-25 05:56:43.438194,2020-07-25 06:32:11.438194,Sat
86,D58,LA-78-QS-6732,2020-07-25 05:56:43.274645,2020-07-25 07:45:37.274645,Sat
87,D60,DL-37-CE-4155,2020-07-25 05:56:43.397230,2020-07-25 06:40:22.397230,Sat
88,D61,MH-00-RE-2728,2020-07-25 05:56:43.228904,2020-07-25 07:35:32.228904,Sat
89,D63,DL-26-BD-7757,2020-07-25 05:56:43.466825,2020-07-25 06:28:54.466825,Sat
90,D65,LD-05-BA-1475,2020-07-25 05:56:43.464457,2020-07-25 06:39:13.464457,Sat
91,D72,WB-85-FR-2574,2020-07-25 05:56:43.487401,2020-07-25 06:05:24.487401,Sat
92,D73,AS-13-LD-0537,2020-07-25 05:56:43.426709,2020-07-25 07:53:08.426709,Sat
93,D79,TR-84-IU-4424,2020-07-25 05:56:43.348314,2020-07-25 06:38:13.348314,Sat
94,D83,TN-91-KM-0698,2020-07-25 05:56:43.365302,2020-07-25 06:24:15.365302,Sat
95,D88,BR-87-AN-6369,2020-07-25 05:56:43.471160,2020-07-25 07:01:02.471160,Sat
96,D97,CH-29-IZ-0167,2020-07-25 05:56:43.433783,2020-07-25 06:49:32.433783,Sat
97,D98,TR-73-RO-8972,2020-07-25 05:56:43.413525,2020-07-25 06:33:21.413525,Sat
98,D100,HR-52-MY-3534,2020-07-25 05:56:43.271940,2020-07-25 07:13:34.271940,Sat
99,D101,ML-19-JX-0467,2020-07-25 05:56:43.483085,2020-07-25 06:58:10.483085,Sat
100,D112,PB-73-BM-3522,2020-07-25 05:56:43.330658,2020-07-25 06:48:05.330658,Sat
101,D114,MH-77-BP-2892,2020-07-25 05:56:43.442563,2020-07-25 06:31:44.442563,Sat
102,D115,OD-59-QG-5355,2020-07-25 05:56:43.431383,2020-07-25 06:22:52.431383,Sat
103,D120,TR-41-SX-9323,2020-07-25 05:56:43.293030,2020-07-25 06:21:07.293030,Sat
104,D122,MH-12-KC-7525,2020-07-25 05:56:43.436037,2020-07-25 06:12:49.436037,Sat
105,D126,RJ-27-GB-8160,2020-07-25 05:56:43.440343,2020-07-25 06:55:41.440343,Sat
106,D131,MP-75-MN-8284,2020-07-25 05:56:43.180899,2020-07-25 07:37:11.180899,Sat
107,D137,AP-92-YV-5809,2020-07-25 05:56:43.186653,2020-07-25 06:59:07.186653,Sat
108,D148,AR-68-HS-4376,2020-07-25 05:56:43.358405,2020-07-25 07:37:55.358405,Sat
109,D153,HP-05-YV-7522,2020-07-25 05:56:43.453744,2020-07-25 06:39:38.453744,Sat
110,D167,DL-09-ER-2030,2020-07-25 05:56:43.231656,2020-07-25 07:13:58.231656,Sat
111,D193,PB-24-TE-0672,2020-07-25 05:56:43.346106,2020-07-25 07:03:06.346106,Sat
112,D195,GA-51-BW-4517,2020-07-25 05:56:43.377742,2020-07-25 07:45:11.377742,Sat
113,D199,KA-08-TC-7514,2020-07-25 05:56:43.295370,2020-07-25 06:13:54.295370,Sat
114,A15,AN-33-AK-6321,2020-07-25 05:56:58.025647,2020-07-25 07:45:29.025647,Sat
115,A28,JH-69-QF-5870,2020-07-25 05:56:57.993130,2020-07-25 07:21:44.993130,Sat
116,A37,AR-75-YF-5911,2020-07-25 05:56:57.995389,2020-07-25 06:27:40.995389,Sat
117,A55,AR-07-YN-6937,2020-07-25 06:33:07.204911,2020-07-25 07:26:03.204911,Sat
118,A66,MZ-52-YN-3913,2020-07-25 05:56:57.932585,2020-07-25 05:57:30.932585,Sat
119,A84,KA-32-JH-6644,2020-07-25 05:56:57.940084,2020-07-25 06:58:50.940084,Sat
120,A94,AN-18-BP-7077,2020-07-25 05:56:57.970450,2020-07-25 06:58:16.970450,Sat
121,A103,HP-87-IW-0302,2020-07-25 05:56:58.048812,2020-07-25 07:21:13.048812,Sat
122,A109,PB-46-SD-8070,2020-07-25 05:56:57.930306,2020-07-25 07:43:33.930306,Sat
123,A128,CH-54-YV-3373,2020-07-25 05:56:57.884932,2020-07-25 07:04:38.884932,Sat
124,A129,MP-14-KD-4902,2020-07-25 05:56:57.904418,2020-07-25 07:22:00.904418,Sat
